gene	Cell type
CCL25	cTEC
COX7A1	cTEC
CTSV	TEC
PDLIM1	cTEC
PLTP	TEC
PRSS16	cTEC
PSMB11	cTEC
S100A14	TEC
SCX	cTEC
MDK	TEC
PAX1	cTEC
CALML3	TEC
CLTA	TEC
CSTB	TEC
CRABP2	cTEC
PSIP1	cTEC
DSP	cTEC
PSMB5	cTEC
TSC22D1	TEC
SERBP1	cTEC
CDKN1C	cTEC
DNAJB6	cTEC
DNAJB1	TEC
PIK3R1	cTEC
DNAJB4	cTEC
CXXC5	cTEC
PITHD1	cTEC
BEX3	cTEC
HLA-DQB1	cTEC
H3-3B	TEC
PSMB6	cTEC
C20orf204	cTEC
CALR	cTEC
GAMT	cTEC
HMGN1	cTEC
IGFBP2	cTEC
FABP5	cTEC
JUND	cTEC
PHPT1	cTEC
TBATA	cTEC
EIF5	cTEC
LDHA	cTEC
ALDOA	TEC
H3-3A	cTEC
METTL26	cTEC
BTG2	cTEC
ATOX1	cTEC
EDF1	cTEC
SF3B6	cTEC
GNAS	cTEC
GAS6	cTEC
TRMT112	cTEC
SRSF9	cTEC
SERPINH1	cTEC
PSMA7	cTEC
THY1	cTEC
SEM1	cTEC
PEG10	cTEC
ZFAND2A	cTEC
TP53I3	cTEC
PSMB1	cTEC
PPIA	cTEC
OST4	cTEC
ARL6IP4	cTEC
CEBPD	cTEC
NCL	cTEC
CDC42EP5	cTEC
HSPH1	cTEC
KREMEN2	cTEC
CCL19	TEC
SNHG8	TEC
UBE2S	cTEC
ATF3	TEC
GAA	cTEC
DDT	cTEC
SIX1	cTEC
RAB42	cTEC
CCND1	cTEC
HSPB1	TEC
MGMT	cTEC
KRT19	TEC
SUB1	cTEC
KRT8	cTEC
SKP1	cTEC
SUMO2	cTEC
GOLM1	cTEC
FBXO2	cTEC
POLR2L	cTEC
IRF1	TEC
MZT2B	cTEC
PRAP1	cTEC
TBCA	cTEC
CLDN5	endothelial
EMCN	endothelial
FLT1	endothelial
PECAM1	endothelial
NOVA2	endothelial
SOX17	endothelial
EGFL7	endothelial
VWF	endothelial
TM4SF1	endothelial
ENG	endothelial
ADGRL4	endothelial
CALCRL	endothelial
RAMP2	endothelial
PTPRB	endothelial
EPAS1	endothelial
CD93	endothelial
ESAM	endothelial
CAVIN2	endothelial
SLC9A3R2	endothelial
PCAT19	endothelial
CDH5	endothelial
ADGRF5	endothelial
CLEC14A	endothelial
SPARCL1	endothelial
HYAL2	endothelial
RAMP3	endothelial
SEC14L1	endothelial
LDB2	endothelial
PLVAP	endothelial
AQP1	endothelial
BTNL9	endothelial
A2M	endothelial
ERG	endothelial
CD59	endothelial
CYYR1	endothelial
SOX18	endothelial
ARHGAP29	endothelial
ECSCR	endothelial
SHANK3	endothelial
CD34	endothelial
PODXL	endothelial
BLVRB	erythrocyte
AHSP	erythrocyte
GYPC	erythrocyte
HBG2	erythrocyte
HBM	erythrocyte
HBG1	erythrocyte
UROD	erythrocyte
HMBS	erythrocyte
GYPA	erythrocyte
MYL4	erythrocyte
GYPB	erythrocyte
KLF1	erythrocyte
SLC4A1	erythrocyte
HEMGN	erythrocyte
HBB	erythrocyte
SELENBP1	erythrocyte
RAD23A	erythrocyte
HBZ	erythrocyte
SMIM1	erythrocyte
RHAG	erythrocyte
EPB42	erythrocyte
HBQ1	erythrocyte
UBAC1	erythrocyte
FAM178B	erythrocyte
MPP1	erythrocyte
RFESD	erythrocyte
PA2G4	erythrocyte
BPGM	erythrocyte
RBX1	erythrocyte
GATA1	erythrocyte
MGST3	erythrocyte
NARF	erythrocyte
NFE2	erythrocyte
HBE1	erythrocyte
EIF2AK1	erythrocyte
DDR2	fibroblast
ABCA8	fibroblast
BMP5	fibroblast
BMPR1B	fibroblast
BNC2	fibroblast
COL15A1	fibroblast
COL1A2	fibroblast
DCN	fibroblast
EBF2	fibroblast
FBLN2	fibroblast
FMO2	fibroblast
LINC02147	fibroblast
LTBP2	fibroblast
PTGDR	fibroblast
RP11-354K4.2	fibroblast
SLC2A1	fibroblast
SLC5A5	fibroblast
SLC6A20	fibroblast
TBX18	fibroblast
GSN	fibroblast
HOXC8	fibroblast
HOXC9	fibroblast
PDGFRA	fibroblast
LUM	fibroblast
COL6A3	fibroblast
COL3A1	fibroblast
C1S	fibroblast
FBLN1	fibroblast
CCDC80	fibroblast
C1R	fibroblast
