human.gene.name	human.gene.stable.ID	pig.gene.stable.ID	pig.gene.name
1	ATAD2	ENSG00000156802	ENSSSCG00000005983	ATAD2
2	BLM	ENSG00000197299	ENSSSCG00000001816	BLM
3	BRIP1	ENSG00000136492	ENSSSCG00000021384	BRIP1
4	CASP8AP2	ENSG00000118412	ENSSSCG00000004331	CASP8AP2
5	CCNE2	ENSG00000175305	ENSSSCG00000006095	CCNE2
6	CDC45	ENSG00000093009	ENSSSCG00000010122	CDC45
7	CDC6	ENSG00000094804	ENSSSCG00000017471	CDC6
8	CDCA7	ENSG00000144354	ENSSSCG00000015961	CDCA7
9	CHAF1B	ENSG00000159259	ENSSSCG00000012056	CHAF1B
10	CLSPN	ENSG00000092853	ENSSSCG00000003628	CLSPN
11	DSCC1	ENSG00000136982	ENSSSCG00000047247	DSCC1
12	DTL	ENSG00000143476	ENSSSCG00000015600	DTL
13	E2F8	ENSG00000129173	ENSSSCG00000013352	E2F8
14	EXO1	ENSG00000174371	ENSSSCG00000010865	EXO1
15	FEN1	ENSG00000168496	ENSSSCG00000063433	FEN1
16	GINS2	ENSG00000131153	ENSSSCG00000056302	GINS2
17	GMNN	ENSG00000112312	ENSSSCG00000001095	GMNN
18	HELLS	ENSG00000119969	ENSSSCG00000010486	HELLS
19	MCM2	ENSG00000073111	ENSSSCG00000011624	MCM2
20	MCM4	ENSG00000104738	ENSSSCG00000006273	MCM4
21	MCM5	ENSG00000100297	ENSSSCG00000022823	MCM5
22	MCM6	ENSG00000076003	ENSSSCG00000035564	MCM6
23	MSH2	ENSG00000095002	ENSSSCG00000008428	MSH2
24	NASP	ENSG00000132780	ENSSSCG00000029573	NASP
25	PCNA	ENSG00000132646	ENSSSCG00000056538	ENSSSCG00000056538
26	POLA1	ENSG00000101868	ENSSSCG00000022240	POLA1
27	PRIM1	ENSG00000198056	ENSSSCG00000026055	PRIM1
28	RAD51	ENSG00000051180	ENSSSCG00000004766	RAD51
29	RAD51AP1	ENSG00000111247	ENSSSCG00000000722	RAD51AP1
30	RFC2	ENSG00000049541	ENSSSCG00000028504	RFC2
31	RPA2	ENSG00000117748	ENSSSCG00000003583	RPA2
32	RRM1	ENSG00000167325	ENSSSCG00000014791	RRM1
33	RRM2	ENSG00000171848	ENSSSCG00000031741	ENSSSCG00000031741
34	SLBP	ENSG00000163950	ENSSSCG00000055957	SLBP
35	TIPIN	ENSG00000075131	ENSSSCG00000004942	TIPIN
36	TYMS	ENSG00000176890	ENSSSCG00000040678	TYMS
37	UBR7	ENSG00000012963	ENSSSCG00000002460	UBR7
38	UHRF1	ENSG00000276043	ENSSSCG00000013517	UHRF1
39	UNG	ENSG00000076248	ENSSSCG00000009938	UNG
40	USP1	ENSG00000162607	ENSSSCG00000003820	USP1
41	WDR76	ENSG00000092470	ENSSSCG00000004695	WDR76
