human.gene.name	human.gene.stable.ID	pig.gene.stable.ID	pig.gene.name
1	ANLN	ENSG00000011426	ENSSSCG00000016658	ANLN
2	ANP32E	ENSG00000143401	ENSSSCG00000035209	ANP32E
3	AURKA	ENSG00000087586	ENSSSCG00000001776	ENSSSCG00000001776
4	AURKB	ENSG00000178999	ENSSSCG00000028924	AURKB
5	BIRC5	ENSG00000089685	ENSSSCG00000040486	BIRC5
6	BUB1	ENSG00000169679	ENSSSCG00000030469	BUB1
7	CBX5	ENSG00000094916	ENSSSCG00000039191	CBX5
8	CCNB2	ENSG00000157456	ENSSSCG00000004588	CCNB2
9	CDC20	ENSG00000117399	ENSSSCG00000003949	CDC20
10	CDC25C	ENSG00000158402	ENSSSCG00000051455	CDC25C
11	CDCA2	ENSG00000184661	ENSSSCG00000009653	CDCA2
12	CDCA3	ENSG00000111665	ENSSSCG00000000683	CDCA3
13	CDCA8	ENSG00000134690	ENSSSCG00000032909	CDCA8
14	CDK1	ENSG00000170312	ENSSSCG00000010214	CDK1
15	CENPA	ENSG00000115163	ENSSSCG00000038543	CENPA
16	CENPE	ENSG00000138778	ENSSSCG00000023296	CENPE
17	CENPF	ENSG00000117724	ENSSSCG00000015581	CENPF
18	CKAP2	ENSG00000136108	ENSSSCG00000009378	CKAP2
19	CKAP2L	ENSG00000169607	ENSSSCG00000008089	CKAP2L
20	CKAP5	ENSG00000175216	ENSSSCG00000013249	CKAP5
21	CKS1B	ENSG00000173207	ENSSSCG00000054923	CKS1B
22	CKS2	ENSG00000123975	ENSSSCG00000063352	ENSSSCG00000063352
23	CTCF	ENSG00000102974	ENSSSCG00000024253	CTCF
24	DLGAP5	ENSG00000126787	ENSSSCG00000005056	DLGAP5
25	ECT2	ENSG00000114346	ENSSSCG00000035746	ECT2
26	G2E3	ENSG00000092140	ENSSSCG00000001974	G2E3
27	GAS2L3	ENSG00000139354	ENSSSCG00000000874	GAS2L3
28	GTSE1	ENSG00000075218	ENSSSCG00000000002	GTSE1
29	HJURP	ENSG00000123485	ENSSSCG00000016313	HJURP
30	HMGB2	ENSG00000164104	ENSSSCG00000009704	HMGB2
31	HMMR	ENSG00000072571	ENSSSCG00000017022	HMMR
32	KIF11	ENSG00000138160	ENSSSCG00000010471	KIF11
33	KIF20B	ENSG00000138182	ENSSSCG00000010457	KIF20B
34	KIF23	ENSG00000137807	ENSSSCG00000004969	KIF23
35	KIF2C	ENSG00000142945	ENSSSCG00000003931	KIF2C
36	LBR	ENSG00000143815	ENSSSCG00000032397	LBR
37	MKI67	ENSG00000148773	ENSSSCG00000026302	ENSSSCG00000026302
38	NCAPD2	ENSG00000010292	ENSSSCG00000000693	NCAPD2
39	NDC80	ENSG00000080986	ENSSSCG00000003697	NDC80
40	NEK2	ENSG00000117650	ENSSSCG00000015604	NEK2
41	NUF2	ENSG00000143228	ENSSSCG00000006333	NUF2
42	NUSAP1	ENSG00000137804	ENSSSCG00000035544	NUSAP1
43	PSRC1	ENSG00000134222	ENSSSCG00000036975	PSRC1
44	RANGAP1	ENSG00000100401	ENSSSCG00000028202	RANGAP1
45	SMC4	ENSG00000113810	ENSSSCG00000011731	SMC4
46	TACC3	ENSG00000013810	ENSSSCG00000008677	ENSSSCG00000008677
47	TOP2A	ENSG00000131747	ENSSSCG00000017473	TOP2A
48	TPX2	ENSG00000088325	ENSSSCG00000007235	TPX2
49	TTK	ENSG00000112742	ENSSSCG00000004466	TTK
50	TUBB4B	ENSG00000188229	ENSSSCG00000037046	TUBB4B
51	UBE2C	ENSG00000175063	ENSSSCG00000007423	UBE2C
