human.gene.name	human.gene.stable.ID	pig.gene.stable.ID	pig.gene.name
ANLN	ENSG00000011426	ENSSSCG00000016658	ANLN
ANP32E	ENSG00000143401	ENSSSCG00000035209	ANP32E
ATAD2	ENSG00000156802	ENSSSCG00000005983	ATAD2
AURKA	ENSG00000087586	ENSSSCG00000001776	ENSSSCG00000001776
AURKB	ENSG00000178999	ENSSSCG00000028924	AURKB
BIRC5	ENSG00000089685	ENSSSCG00000040486	BIRC5
BLM	ENSG00000197299	ENSSSCG00000001816	BLM
BRIP1	ENSG00000136492	ENSSSCG00000021384	BRIP1
BUB1	ENSG00000169679	ENSSSCG00000030469	BUB1
CASP8AP2	ENSG00000118412	ENSSSCG00000004331	CASP8AP2
CBX5	ENSG00000094916	ENSSSCG00000039191	CBX5
CCNB2	ENSG00000157456	ENSSSCG00000004588	CCNB2
CCNE2	ENSG00000175305	ENSSSCG00000006095	CCNE2
CDC20	ENSG00000117399	ENSSSCG00000003949	CDC20
CDC25C	ENSG00000158402	ENSSSCG00000051455	CDC25C
CDC45	ENSG00000093009	ENSSSCG00000010122	CDC45
CDC6	ENSG00000094804	ENSSSCG00000017471	CDC6
CDCA2	ENSG00000184661	ENSSSCG00000009653	CDCA2
CDCA3	ENSG00000111665	ENSSSCG00000000683	CDCA3
CDCA7	ENSG00000144354	ENSSSCG00000015961	CDCA7
CDCA8	ENSG00000134690	ENSSSCG00000032909	CDCA8
CDK1	ENSG00000170312	ENSSSCG00000010214	CDK1
CENPA	ENSG00000115163	ENSSSCG00000038543	CENPA
CENPE	ENSG00000138778	ENSSSCG00000023296	CENPE
CENPF	ENSG00000117724	ENSSSCG00000015581	CENPF
CHAF1B	ENSG00000159259	ENSSSCG00000012056	CHAF1B
CKAP2	ENSG00000136108	ENSSSCG00000009378	CKAP2
CKAP2L	ENSG00000169607	ENSSSCG00000008089	CKAP2L
CKAP5	ENSG00000175216	ENSSSCG00000013249	CKAP5
CKS1B	ENSG00000173207	ENSSSCG00000054923	CKS1B
CKS2	ENSG00000123975	ENSSSCG00000063352	ENSSSCG00000063352
CLSPN	ENSG00000092853	ENSSSCG00000003628	CLSPN
CTCF	ENSG00000102974	ENSSSCG00000024253	CTCF
DLGAP5	ENSG00000126787	ENSSSCG00000005056	DLGAP5
DSCC1	ENSG00000136982	ENSSSCG00000047247	DSCC1
DTL	ENSG00000143476	ENSSSCG00000015600	DTL
E2F8	ENSG00000129173	ENSSSCG00000013352	E2F8
ECT2	ENSG00000114346	ENSSSCG00000035746	ECT2
EXO1	ENSG00000174371	ENSSSCG00000010865	EXO1
FEN1	ENSG00000168496	ENSSSCG00000063433	FEN1
G2E3	ENSG00000092140	ENSSSCG00000001974	G2E3
GAS2L3	ENSG00000139354	ENSSSCG00000000874	GAS2L3
GINS2	ENSG00000131153	ENSSSCG00000056302	GINS2
GMNN	ENSG00000112312	ENSSSCG00000001095	GMNN
GTSE1	ENSG00000075218	ENSSSCG00000000002	GTSE1
HELLS	ENSG00000119969	ENSSSCG00000010486	HELLS
HJURP	ENSG00000123485	ENSSSCG00000016313	HJURP
HMGB2	ENSG00000164104	ENSSSCG00000009704	HMGB2
HMMR	ENSG00000072571	ENSSSCG00000017022	HMMR
KIF11	ENSG00000138160	ENSSSCG00000010471	KIF11
KIF20B	ENSG00000138182	ENSSSCG00000010457	KIF20B
KIF23	ENSG00000137807	ENSSSCG00000004969	KIF23
KIF2C	ENSG00000142945	ENSSSCG00000003931	KIF2C
LBR	ENSG00000143815	ENSSSCG00000032397	LBR
MCM2	ENSG00000073111	ENSSSCG00000011624	MCM2
MCM4	ENSG00000104738	ENSSSCG00000006273	MCM4
MCM5	ENSG00000100297	ENSSSCG00000022823	MCM5
MCM6	ENSG00000076003	ENSSSCG00000035564	MCM6
MKI67	ENSG00000148773	ENSSSCG00000026302	ENSSSCG00000026302
MSH2	ENSG00000095002	ENSSSCG00000008428	MSH2
NASP	ENSG00000132780	ENSSSCG00000029573	NASP
NCAPD2	ENSG00000010292	ENSSSCG00000000693	NCAPD2
NDC80	ENSG00000080986	ENSSSCG00000003697	NDC80
NEK2	ENSG00000117650	ENSSSCG00000015604	NEK2
NUF2	ENSG00000143228	ENSSSCG00000006333	NUF2
NUSAP1	ENSG00000137804	ENSSSCG00000035544	NUSAP1
PCNA	ENSG00000132646	ENSSSCG00000056538	ENSSSCG00000056538
POLA1	ENSG00000101868	ENSSSCG00000022240	POLA1
PRIM1	ENSG00000198056	ENSSSCG00000026055	PRIM1
PSRC1	ENSG00000134222	ENSSSCG00000036975	PSRC1
RAD51	ENSG00000051180	ENSSSCG00000004766	RAD51
RAD51AP1	ENSG00000111247	ENSSSCG00000000722	RAD51AP1
RANGAP1	ENSG00000100401	ENSSSCG00000028202	RANGAP1
RFC2	ENSG00000049541	ENSSSCG00000028504	RFC2
RPA2	ENSG00000117748	ENSSSCG00000003583	RPA2
RRM1	ENSG00000167325	ENSSSCG00000014791	RRM1
RRM2	ENSG00000171848	ENSSSCG00000031741	ENSSSCG00000031741
SLBP	ENSG00000163950	ENSSSCG00000055957	SLBP
SMC4	ENSG00000113810	ENSSSCG00000011731	SMC4
TACC3	ENSG00000013810	ENSSSCG00000008677	ENSSSCG00000008677
TIPIN	ENSG00000075131	ENSSSCG00000004942	TIPIN
TOP2A	ENSG00000131747	ENSSSCG00000017473	TOP2A
TPX2	ENSG00000088325	ENSSSCG00000007235	TPX2
TTK	ENSG00000112742	ENSSSCG00000004466	TTK
TUBB4B	ENSG00000188229	ENSSSCG00000037046	TUBB4B
TYMS	ENSG00000176890	ENSSSCG00000040678	TYMS
UBE2C	ENSG00000175063	ENSSSCG00000007423	UBE2C
UBR7	ENSG00000012963	ENSSSCG00000002460	UBR7
UHRF1	ENSG00000276043	ENSSSCG00000013517	UHRF1
UNG	ENSG00000076248	ENSSSCG00000009938	UNG
USP1	ENSG00000162607	ENSSSCG00000003820	USP1
WDR76	ENSG00000092470	ENSSSCG00000004695	WDR76
