human.gene.stable.ID	human.gene.name	pig.gene.stable.ID	pig.gene.name
ENSG00000273730	5_8S_rRNA	ENSSSCG00000053172	5_8S_rRNA
ENSG00000275757	5_8S_rRNA	ENSSSCG00000053172	5_8S_rRNA
ENSG00000277196	PRODH	ENSSSCG00000033787	ENSSSCG00000033787
ENSG00000100033	PRODH	ENSSSCG00000033787	ENSSSCG00000033787
ENSG00000206952	SNORA50A	ENSSSCG00000018522	SNORA50A
ENSG00000281910	SNORA50A	ENSSSCG00000033096	SNORA50A
ENSG00000252199	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000276094	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000252014	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000252724	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000278010	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000252133	SNORA70	ENSSSCG00000018169	SNORA70
ENSG00000206886	SNORA70	ENSSSCG00000020452	SNORA70
ENSG00000253027	SNORA70	ENSSSCG00000020452	SNORA70
ENSG00000202379	SNORA70	ENSSSCG00000020601	SNORA70
ENSG00000252969	SNORA70	ENSSSCG00000030085	SNORA70
ENSG00000200355	SNORA72	ENSSSCG00000019614	SNORA72
ENSG00000201898	SNORA72	ENSSSCG00000020362	SNORA72
ENSG00000212411	SNORD115	ENSSSCG00000019878	SNORD115
ENSG00000212428	SNORD115	ENSSSCG00000020399	SNORD115
ENSG00000277194	SNORD22	ENSSSCG00000025904	SNORD22
ENSG00000278527	SNORD22	ENSSSCG00000029549	SNORD22
ENSG00000275996	SNORD27	ENSSSCG00000028290	SNORD27
ENSG00000252128	SNORD27	ENSSSCG00000033494	SNORD27
ENSG00000281000	SNORD3D	ENSSSCG00000056529	U3
ENSG00000277947	SNORD3D	ENSSSCG00000055272	ENSSSCG00000055272
ENSG00000212278	SNORD81	ENSSSCG00000018158	SNORD81
ENSG00000202023	SNORD81	ENSSSCG00000018158	SNORD81
ENSG00000199934	SNORD81	ENSSSCG00000018158	SNORD81
ENSG00000273727	U1	ENSSSCG00000020195	U1
ENSG00000275405	U1	ENSSSCG00000059409	U1
ENSG00000278135	U2	ENSSSCG00000044297	U2
ENSG00000283555	U2	ENSSSCG00000044634	U2
ENSG00000274755	U2	ENSSSCG00000044819	U2
ENSG00000283519	U2	ENSSSCG00000046320	U2
ENSG00000275616	U2	ENSSSCG00000063550	U2
ENSG00000273709	U2	ENSSSCG00000063550	U2
ENSG00000274432	U2	ENSSSCG00000063550	U2
ENSG00000278048	U2	ENSSSCG00000063550	U2
ENSG00000276596	U2	ENSSSCG00000063550	U2
ENSG00000277903	U2	ENSSSCG00000063550	U2
ENSG00000278774	U2	ENSSSCG00000063550	U2
ENSG00000274862	U2	ENSSSCG00000063550	U2
ENSG00000274062	U2	ENSSSCG00000063550	U2
ENSG00000274452	U2	ENSSSCG00000063550	U2
ENSG00000275219	U2	ENSSSCG00000063550	U2
ENSG00000278591	U2	ENSSSCG00000063550	U2
ENSG00000212321	U3	ENSSSCG00000019510	U3
ENSG00000202233	U3	ENSSSCG00000019510	U3
ENSG00000200222	U3	ENSSSCG00000019510	U3
ENSG00000281710	U3	ENSSSCG00000041842	U3
ENSG00000199856	U3	ENSSSCG00000045601	U3
ENSG00000277754	U3	ENSSSCG00000045601	U3
ENSG00000221638	U3	ENSSSCG00000049089	U3
ENSG00000273744	U4	ENSSSCG00000031408	U4
ENSG00000278374	U4	ENSSSCG00000049870	U4
ENSG00000276138	U6	ENSSSCG00000018129	U6
ENSG00000278188	U6	ENSSSCG00000018129	U6
ENSG00000276183	U6	ENSSSCG00000018129	U6
ENSG00000283432	U6	ENSSSCG00000019649	U6
ENSG00000283564	U6	ENSSSCG00000020088	U6
ENSG00000283527	U6	ENSSSCG00000020252	U6
ENSG00000283414	U6	ENSSSCG00000026500	U6
ENSG00000283313	U6	ENSSSCG00000030244	U6
ENSG00000277717	U6	ENSSSCG00000035330	U6
ENSG00000278757	U6	ENSSSCG00000052523	U6
ENSG00000277613	U6	ENSSSCG00000052523	U6
ENSG00000283256	U6	ENSSSCG00000052543	U6
ENSG00000283337	U6	ENSSSCG00000056499	U6
ENSG00000283372	U6	ENSSSCG00000058678	U6
ENSG00000212249	U8	ENSSSCG00000018956	U8
ENSG00000212144	U8	ENSSSCG00000023729	U8
ENSG00000206987	U8	ENSSSCG00000036740	U8
ENSG00000207430	U8	ENSSSCG00000036740	U8
ENSG00000207432	U8	ENSSSCG00000036740	U8
ENSG00000238519	U8	ENSSSCG00000036740	U8
ENSG00000212145	U8	ENSSSCG00000036740	U8
ENSG00000200334	Y_RNA	ENSSSCG00000018101	Y_RNA
ENSG00000199245	Y_RNA	ENSSSCG00000018249	Y_RNA
ENSG00000207302	Y_RNA	ENSSSCG00000018249	Y_RNA
ENSG00000200201	Y_RNA	ENSSSCG00000018504	Y_RNA
ENSG00000251779	Y_RNA	ENSSSCG00000018715	Y_RNA
ENSG00000199781	Y_RNA	ENSSSCG00000018715	Y_RNA
ENSG00000222506	Y_RNA	ENSSSCG00000018723	Y_RNA
ENSG00000201987	Y_RNA	ENSSSCG00000031693	Y_RNA
ENSG00000121410	A1BG	ENSSSCG00000004001	ENSSSCG00000004001
ENSG00000148584	A1CF	ENSSSCG00000010431	A1CF
ENSG00000175899	A2M	ENSSSCG00000000660	A2M
ENSG00000166535	A2ML1	ENSSSCG00000000664	A2ML1
ENSG00000184389	A3GALT2	ENSSSCG00000032224	A3GALT2
ENSG00000128274	A4GALT	ENSSSCG00000026962	A4GALT
ENSG00000118017	A4GNT	ENSSSCG00000022473	A4GNT
ENSG00000094914	AAAS	ENSSSCG00000000268	AAAS
ENSG00000081760	AACS	ENSSSCG00000009755	AACS
ENSG00000114771	AADAC	ENSSSCG00000031367	AADAC
ENSG00000197953	AADACL2	ENSSSCG00000033781	AADACL2
ENSG00000188984	AADACL3	ENSSSCG00000003441	AADACL3
ENSG00000204518	AADACL4	ENSSSCG00000003440	AADACL4
ENSG00000109576	AADAT	ENSSSCG00000009708	AADAT
ENSG00000103591	AAGAB	ENSSSCG00000004951	AAGAB
ENSG00000115977	AAK1	ENSSSCG00000008337	AAK1
ENSG00000087884	AAMDC	ENSSSCG00000038537	ENSSSCG00000038537
ENSG00000127837	AAMP	ENSSSCG00000016189	AAMP
ENSG00000129673	AANAT	ENSSSCG00000017176	AANAT
ENSG00000131043	AAR2	ENSSSCG00000007315	AAR2
ENSG00000205002	AARD	ENSSSCG00000006013	AARD
ENSG00000090861	AARS1	ENSSSCG00000002723	AARS1
ENSG00000124608	AARS2	ENSSSCG00000001706	AARS2
ENSG00000266967	AARSD1	ENSSSCG00000037979	AARSD1
ENSG00000157426	AASDH	ENSSSCG00000027403	AASDH
ENSG00000149313	AASDHPPT	ENSSSCG00000014998	AASDHPPT
ENSG00000008311	AASS	ENSSSCG00000016613	AASS
ENSG00000275700	AATF	ENSSSCG00000017693	AATF
ENSG00000181409	AATK	ENSSSCG00000017141	AATK
ENSG00000183044	ABAT	ENSSSCG00000007909	ABAT
ENSG00000165029	ABCA1	ENSSSCG00000005423	ABCA1
ENSG00000154263	ABCA10	ENSSSCG00000055960	ENSSSCG00000055960
ENSG00000144452	ABCA12	ENSSSCG00000034282	ABCA12
ENSG00000179869	ABCA13	ENSSSCG00000031141	ABCA13
ENSG00000107331	ABCA2	ENSSSCG00000039264	ABCA2
ENSG00000167972	ABCA3	ENSSSCG00000008051	ABCA3
ENSG00000198691	ABCA4	ENSSSCG00000006890	ABCA4
ENSG00000154265	ABCA5	ENSSSCG00000017255	ABCA5
ENSG00000154262	ABCA6	ENSSSCG00000017256	ABCA6
ENSG00000064687	ABCA7	ENSSSCG00000023121	ABCA7
ENSG00000141338	ABCA8	ENSSSCG00000026473	ABCA8
ENSG00000154258	ABCA9	ENSSSCG00000017257	ABCA9
ENSG00000085563	ABCB1	ENSSSCG00000032456	ENSSSCG00000032456
ENSG00000135776	ABCB10	ENSSSCG00000010188	ABCB10
ENSG00000073734	ABCB11	ENSSSCG00000015926	ABCB11
ENSG00000004846	ABCB5	ENSSSCG00000015377	ABCB5
ENSG00000115657	ABCB6	ENSSSCG00000016210	ABCB6
ENSG00000131269	ABCB7	ENSSSCG00000012424	ABCB7
ENSG00000197150	ABCB8	ENSSSCG00000027986	ABCB8
