human.gene.stable.ID	human.gene.name	pig.gene.stable.ID	pig.gene.name	Last common ancestor with Pig
ENSG00000121410	A1BG	ENSSSCG00000004001	ENSSSCG00000004001	Boreoeutheria
ENSG00000148584	A1CF	ENSSSCG00000010431	A1CF	Eutheria
ENSG00000175899	A2M	ENSSSCG00000000660	A2M	Boreoeutheria
ENSG00000166535	A2ML1	ENSSSCG00000000664	A2ML1	Boreoeutheria
ENSG00000184389	A3GALT2	ENSSSCG00000032224	A3GALT2	Boreoeutheria
ENSG00000128274	A4GALT	ENSSSCG00000026962	A4GALT	Boreoeutheria
ENSG00000118017	A4GNT	ENSSSCG00000022473	A4GNT	Boreoeutheria
ENSG00000094914	AAAS	ENSSSCG00000000268	AAAS	Eutheria
ENSG00000081760	AACS	ENSSSCG00000009755	AACS	Boreoeutheria
ENSG00000114771	AADAC	ENSSSCG00000031367	AADAC	Eutheria
ENSG00000197953	AADACL2	ENSSSCG00000033781	AADACL2	Boreoeutheria
ENSG00000188984	AADACL3	ENSSSCG00000003441	AADACL3	Boreoeutheria
ENSG00000204518	AADACL4	ENSSSCG00000003440	AADACL4	Boreoeutheria
ENSG00000109576	AADAT	ENSSSCG00000009708	AADAT	Boreoeutheria
ENSG00000103591	AAGAB	ENSSSCG00000004951	AAGAB	Boreoeutheria
ENSG00000115977	AAK1	ENSSSCG00000008337	AAK1	Eutheria
ENSG00000127837	AAMP	ENSSSCG00000016189	AAMP	Boreoeutheria
ENSG00000129673	AANAT	ENSSSCG00000017176	AANAT	Boreoeutheria
ENSG00000131043	AAR2	ENSSSCG00000007315	AAR2	Eutheria
ENSG00000205002	AARD	ENSSSCG00000006013	AARD	Boreoeutheria
ENSG00000090861	AARS1	ENSSSCG00000002723	AARS1	Boreoeutheria
ENSG00000124608	AARS2	ENSSSCG00000001706	AARS2	Boreoeutheria
ENSG00000266967	AARSD1	ENSSSCG00000037979	AARSD1	Boreoeutheria
ENSG00000157426	AASDH	ENSSSCG00000027403	AASDH	Boreoeutheria
ENSG00000149313	AASDHPPT	ENSSSCG00000014998	AASDHPPT	Eutheria
ENSG00000008311	AASS	ENSSSCG00000016613	AASS	Boreoeutheria
ENSG00000275700	AATF	ENSSSCG00000017693	AATF	Boreoeutheria
ENSG00000181409	AATK	ENSSSCG00000017141	AATK	Boreoeutheria
ENSG00000183044	ABAT	ENSSSCG00000007909	ABAT	Boreoeutheria
ENSG00000165029	ABCA1	ENSSSCG00000005423	ABCA1	Boreoeutheria
ENSG00000154263	ABCA10	ENSSSCG00000055960	ENSSSCG00000055960	Boreoeutheria
ENSG00000144452	ABCA12	ENSSSCG00000034282	ABCA12	Boreoeutheria
ENSG00000179869	ABCA13	ENSSSCG00000031141	ABCA13	Amniota
ENSG00000107331	ABCA2	ENSSSCG00000039264	ABCA2	Boreoeutheria
ENSG00000167972	ABCA3	ENSSSCG00000008051	ABCA3	Boreoeutheria
ENSG00000198691	ABCA4	ENSSSCG00000006890	ABCA4	Boreoeutheria
ENSG00000154265	ABCA5	ENSSSCG00000017255	ABCA5	Boreoeutheria
ENSG00000154262	ABCA6	ENSSSCG00000017256	ABCA6	Boreoeutheria
ENSG00000064687	ABCA7	ENSSSCG00000023121	ABCA7	Boreoeutheria
ENSG00000141338	ABCA8	ENSSSCG00000026473	ABCA8	Boreoeutheria
ENSG00000154258	ABCA9	ENSSSCG00000017257	ABCA9	Boreoeutheria
ENSG00000135776	ABCB10	ENSSSCG00000010188	ABCB10	Boreoeutheria
ENSG00000073734	ABCB11	ENSSSCG00000015926	ABCB11	Boreoeutheria
ENSG00000004846	ABCB5	ENSSSCG00000015377	ABCB5	Boreoeutheria
ENSG00000115657	ABCB6	ENSSSCG00000016210	ABCB6	Boreoeutheria
ENSG00000131269	ABCB7	ENSSSCG00000012424	ABCB7	Eutheria
ENSG00000197150	ABCB8	ENSSSCG00000027986	ABCB8	Boreoeutheria
ENSG00000150967	ABCB9	ENSSSCG00000009784	ABCB9	Boreoeutheria
ENSG00000103222	ABCC1	ENSSSCG00000007874	ABCC1	Boreoeutheria
ENSG00000124574	ABCC10	ENSSSCG00000001680	ABCC10	Boreoeutheria
ENSG00000121270	ABCC11	ENSSSCG00000032298	ABCC11	Boreoeutheria
ENSG00000140798	ABCC12	ENSSSCG00000022813	ABCC12	Boreoeutheria
ENSG00000023839	ABCC2	ENSSSCG00000010543	ABCC2	Eutheria
ENSG00000108846	ABCC3	ENSSSCG00000017561	ABCC3	Boreoeutheria
ENSG00000114770	ABCC5	ENSSSCG00000011782	ABCC5	Boreoeutheria
ENSG00000091262	ABCC6	ENSSSCG00000007873	ABCC6	Eutheria
ENSG00000006071	ABCC8	ENSSSCG00000013378	ABCC8	Eutheria
ENSG00000069431	ABCC9	ENSSSCG00000000571	ABCC9	Eutheria
ENSG00000101986	ABCD1	ENSSSCG00000012779	ABCD1	Boreoeutheria
ENSG00000173208	ABCD2	ENSSSCG00000000781	ABCD2	Boreoeutheria
ENSG00000117528	ABCD3	ENSSSCG00000028620	ABCD3	Boreoeutheria
ENSG00000119688	ABCD4	ENSSSCG00000038231	ABCD4	Boreoeutheria
ENSG00000164163	ABCE1	ENSSSCG00000009043	ABCE1	Boreoeutheria
ENSG00000204574	ABCF1	ENSSSCG00000001346	ABCF1	Boreoeutheria
ENSG00000033050	ABCF2	ENSSSCG00000016441	ABCF2	Eutheria
ENSG00000161204	ABCF3	ENSSSCG00000028856	ABCF3	Boreoeutheria
ENSG00000160179	ABCG1	ENSSSCG00000027745	ABCG1	Eutheria
ENSG00000172350	ABCG4	ENSSSCG00000015113	ABCG4	Boreoeutheria
ENSG00000138075	ABCG5	ENSSSCG00000035912	ABCG5	Boreoeutheria
ENSG00000143921	ABCG8	ENSSSCG00000008453	ABCG8	Boreoeutheria
ENSG00000143994	ABHD1	ENSSSCG00000008554	ABHD1	Boreoeutheria
ENSG00000144827	ABHD10	ENSSSCG00000034450	ABHD10	Boreoeutheria
ENSG00000106077	ABHD11	ENSSSCG00000007715	ABHD11	Eutheria
ENSG00000100997	ABHD12	ENSSSCG00000040449	ABHD12	Boreoeutheria
ENSG00000131969	ABHD12B	ENSSSCG00000005023	ABHD12B	Boreoeutheria
ENSG00000139826	ABHD13	ENSSSCG00000009541	ABHD13	Boreoeutheria
ENSG00000248487	ABHD14A	ENSSSCG00000030229	ABHD14A	Boreoeutheria
ENSG00000114779	ABHD14B	ENSSSCG00000042259	ABHD14B	Boreoeutheria
ENSG00000168792	ABHD15	ENSSSCG00000017789	ABHD15	Boreoeutheria
ENSG00000204427	ABHD16A	ENSSSCG00000034923	ABHD16A	Boreoeutheria
ENSG00000183260	ABHD16B	ENSSSCG00000035915	ABHD16B	Boreoeutheria
ENSG00000129968	ABHD17A	ENSSSCG00000013442	ABHD17A	Eutheria
ENSG00000107362	ABHD17B	ENSSSCG00000021802	ABHD17B	Boreoeutheria
ENSG00000136379	ABHD17C	ENSSSCG00000001782	ABHD17C	Theria
ENSG00000164074	ABHD18	ENSSSCG00000009074	ABHD18	Eutheria
ENSG00000140526	ABHD2	ENSSSCG00000001835	ABHD2	Eutheria
ENSG00000158201	ABHD3	ENSSSCG00000028010	ABHD3	Mammalia
ENSG00000100439	ABHD4	ENSSSCG00000002051	ABHD4	Eutheria
ENSG00000011198	ABHD5	ENSSSCG00000011297	ABHD5	Eutheria
ENSG00000163686	ABHD6	ENSSSCG00000011470	ABHD6	Boreoeutheria
ENSG00000127220	ABHD8	ENSSSCG00000031877	ABHD8	Boreoeutheria
ENSG00000136754	ABI1	ENSSSCG00000024127	ABI1	Boreoeutheria
ENSG00000138443	ABI2	ENSSSCG00000034630	ABI2	Boreoeutheria
